,model,category1,category2,frame,price
21,F-Si 2,Mountain,Cross Country Race,Aluminum,2060.0
56,Slice Ultegra,Road,Triathalon,Carbon,2700.0
25,F-Si Carbon 4,Mountain,Cross Country Race,Carbon,2880.0
8,CAAD12 Disc 105,Road,Elite Road,Aluminum,1950.0
18,Catalyst 3,Mountain,Sport,Aluminum,480.0
74,Synapse Carbon Disc 105,Road,Endurance Road,Carbon,2660.0
96,Trigger Carbon 4,Mountain,Over Mountain,Carbon,3200.0
30,Habit 4,Mountain,Trail,Aluminum,2880.0
88,Trail 1,Mountain,Sport,Aluminum,1520.0
14,CAAD8 Sora,Road,Elite Road,Aluminum,1030.0
